"NOM,C,29","ENF_HEBER,C,2","ACT_EDUC,C,1","CHRS,C,2","ACC_ASILE,C,1","AUTRES_SOC,C,2","TRAV_PROT,C,2","HEB_PROV,C,1","ETA_PSY,C,2","URGENCES,C,1","MATERNITE,C,1","Asso_singa,N,10,0","Volo_singa,N,10,0"
Saint-Médard-en-Jalles,0,0,0,0,0,1,0,0,0,0,0,2
Thiais,1,0,0,0,6,0,0,0,1,0,0,0
Clermont-Ferrand,7,6,3,0,13,8,0,7,3,1,8,29
Gentilly,0,0,0,0,0,0,0,2,0,0,0,2
Amilly,1,0,0,0,2,2,0,1,1,1,0,3
Gujan-Mestras,0,0,0,0,0,0,0,0,0,0,0,2
Annemasse,3,0,1,0,4,0,0,1,1,1,0,5
Talence,1,0,0,0,1,0,0,3,0,1,0,3
Bruges,0,0,0,0,0,0,0,1,0,1,0,2
Mérignac,1,1,0,0,1,3,0,1,0,0,0,4
Le Bouscat,0,0,0,0,1,0,0,0,0,0,0,2
Le Pont-de-Claix,0,0,0,0,0,0,0,0,0,0,0,0
Maisons-Alfort,1,0,1,0,2,0,0,0,0,0,0,7
Thonon-les-Bains,3,0,1,0,1,0,0,1,1,1,0,2
Villenave-d'Ornon,0,1,0,1,0,2,0,3,1,0,0,0
Blanquefort,0,0,0,0,0,0,0,1,0,0,0,0
Pessac,1,0,1,0,1,3,0,3,2,1,0,9
Ivry-sur-Seine,0,0,0,0,8,0,0,1,0,0,0,8
Valenton,0,0,0,0,1,0,0,0,0,0,0,0
Vitré,0,0,1,0,3,1,0,3,1,1,0,4
Cognac,1,0,1,0,2,0,0,1,0,0,0,4
Montigny-lès-Metz,0,0,1,0,1,3,0,1,0,0,0,2
Bolbec,1,2,1,0,2,0,0,0,0,0,0,0
Vincennes,0,0,1,0,1,0,0,0,0,0,0,9
Eybens,1,0,0,0,0,1,0,0,0,0,0,0
Mont-Saint-Aignan,2,0,0,0,2,0,0,0,0,1,0,0
Sannois,1,1,0,0,3,1,0,0,0,0,0,1
Bezons,0,0,1,0,4,0,0,1,0,0,0,1
Besançon,8,4,4,3,24,5,1,11,1,2,2,21
Choisy-le-Roi,0,0,0,1,5,1,0,3,0,0,0,0
Le Mans,5,7,3,3,15,6,0,11,2,2,0,15
Le Havre,12,5,3,3,16,7,0,6,2,1,0,12
Tulle,2,1,1,1,1,4,0,1,1,1,0,0
Vitry-sur-Seine,6,1,1,0,5,2,0,1,1,1,0,1
Villeneuve-Saint-Georges,0,0,0,0,2,2,0,2,1,1,0,0
Villejuif,1,0,1,0,5,4,0,3,0,0,0,3
Boissy-Saint-Léger,0,0,0,2,2,0,0,0,0,0,0,2
Eysines,1,0,0,1,2,2,0,2,0,0,0,0
Gradignan,4,0,0,0,0,0,0,0,0,0,0,0
Bonneuil-sur-Marne,0,0,0,0,2,0,0,2,0,0,0,0
Sablé-sur-Sarthe,1,0,0,0,1,1,0,2,0,0,0,2
Betton,0,0,0,0,1,2,0,0,0,0,0,1
Sucy-en-Brie,1,0,0,0,0,0,0,0,0,0,0,2
L'Isle-sur-la-Sorgue,0,0,0,0,0,1,0,1,0,0,0,0
Ormesson-sur-Marne,0,0,0,0,0,0,0,0,0,0,0,3
Champigny-sur-Marne,0,0,1,0,5,3,0,1,1,0,0,2
Bry-sur-Marne,2,0,0,0,1,1,0,1,1,1,0,3
Le Plessis-Trévise,0,1,1,0,1,0,0,0,0,0,0,1
Saint-Mandé,0,0,0,0,0,1,0,2,1,1,0,1
Allonnes,0,0,0,0,2,2,0,1,0,0,0,0
Nogent-sur-Marne,2,2,0,0,3,0,0,2,1,1,0,1
Saint-Maurice,0,0,0,0,0,0,0,1,0,1,0,0
Gerzat,0,0,0,0,0,0,0,0,0,0,0,0
Montbrison,2,0,0,0,0,1,0,3,1,1,0,0
Fécamp,6,1,0,0,5,1,0,1,1,1,0,2
Riom,0,1,0,0,1,2,0,2,0,0,0,5
Dieppe,8,3,2,1,2,0,0,1,1,1,0,0
Montluçon,4,3,1,0,3,3,0,1,1,1,0,0
Deuil-la-Barre,0,0,0,0,0,0,0,0,0,0,0,0
Franconville,0,0,0,0,1,0,0,0,0,0,0,1
Cestas,0,0,0,0,0,0,0,0,0,0,0,0
Yvetot,2,1,0,0,1,1,0,4,0,0,0,1
Saint-Just-Saint-Rambert,0,0,0,0,0,0,0,0,0,0,0,2
Le Perreux-sur-Marne,1,0,1,0,0,1,0,1,0,0,0,1
Arcachon,1,0,0,0,0,0,0,1,0,0,0,0
Rodez,1,1,2,0,3,2,0,6,1,1,0,5
Joinville-le-Pont,1,0,0,0,0,1,0,0,0,0,2,2
Juvisy-sur-Orge,1,3,0,0,4,0,0,1,1,0,0,0
Montargis,1,1,1,0,2,0,0,0,0,0,0,2
Andernos-les-Bains,0,0,0,0,0,1,0,1,0,0,0,2
Pont-à-Mousson,2,0,1,0,2,2,0,2,1,0,0,0
Pont-du-Château,0,0,0,0,0,0,0,0,0,0,0,0
Longwy,3,1,1,0,2,0,0,1,0,0,0,1
Villeurbanne,2,4,3,3,23,10,1,4,1,1,0,1
Marmande,1,0,1,0,1,0,0,2,1,1,0,3
Brunoy,0,0,0,0,1,0,0,0,0,0,0,4
Amiens,10,3,7,4,17,7,1,8,2,2,2,28
Abbeville,2,0,0,0,0,2,0,3,1,1,0,0
Châteaubriant,0,0,0,0,1,1,0,3,1,1,0,0
Guéret,2,1,1,1,5,0,0,6,1,1,0,2
Creutzwald,0,0,0,0,0,1,0,0,0,0,0,0
Toul,2,0,0,0,2,0,0,2,1,1,0,0
Montbéliard,4,1,1,0,7,0,0,2,1,2,0,0
Montmorency,3,0,0,0,2,0,0,2,0,0,0,2
Taverny,1,0,0,0,2,2,0,0,0,0,0,1
Montmagny,0,0,0,0,0,0,0,0,0,0,0,0
Freyming-Merlebach,0,0,1,0,0,0,0,1,0,0,0,0
Limoges,4,5,4,2,11,7,0,10,3,2,0,37
Aurillac,4,2,2,1,2,7,0,2,1,1,0,1
Aubenas,0,0,1,0,3,0,0,2,1,1,0,0
Saint-Junien,0,0,0,0,1,1,0,2,1,1,0,2
Domont,1,1,0,0,1,1,0,1,0,0,0,0
Brive-la-Gaillarde,3,2,3,0,2,1,0,3,1,2,0,2
Villefranche-de-Rouergue,0,0,1,0,2,0,0,3,1,1,0,2
Cusset,0,2,0,1,0,0,0,1,0,0,0,2
Panazol,0,0,0,0,1,2,0,0,0,0,0,0
Roche-la-Molière,1,0,0,0,0,0,0,0,0,0,0,0
La Rochelle,0,3,6,1,5,0,0,5,1,2,0,24
Lyon 3e Arrondissement,0,1,3,1,15,0,0,2,1,0,1,11
Rochefort,1,1,1,0,2,3,0,2,1,1,0,0
Saint-Étienne,13,6,8,0,19,7,0,3,3,1,0,24
Firminy,0,0,0,0,1,0,0,1,1,1,0,0
Le Chambon-Feugerolles,1,0,0,0,0,2,0,0,0,0,0,0
Audincourt,1,0,0,0,1,0,0,1,0,0,0,3
Rombas,0,0,0,0,0,1,0,0,0,0,0,0
Saint-Chamond,0,0,0,0,1,2,0,1,1,1,0,0
L'Union,0,0,0,0,0,0,0,0,0,0,0,0
Saint-Jean,0,0,0,0,1,0,0,0,1,1,0,0
Fonsorbes,0,0,0,0,1,0,0,0,0,0,0,0
Cournon-d'Auvergne,0,0,0,0,0,0,0,1,0,0,0,0
Charleville-Mézières,0,3,2,1,9,2,0,12,1,1,0,0
Moulins,2,1,1,0,4,1,0,0,0,1,0,0
Le Puy-en-Velay,3,2,4,0,4,1,0,2,1,1,0,2
Jouy-le-Moutier,2,0,0,0,1,1,0,0,0,0,0,0
Éragny,2,0,0,0,1,0,0,0,0,0,0,1
Cergy,3,2,3,0,7,2,0,4,0,0,6,7
Osny,0,0,1,1,2,0,0,1,1,0,0,0
Lyon 9e Arrondissement,1,1,1,0,7,2,0,1,1,0,0,2
Maizières-lès-Metz,0,0,0,0,1,0,0,1,0,0,0,0
Royan,0,0,0,0,1,1,0,1,3,1,0,0
Cahors,2,1,2,0,4,1,0,3,1,1,0,0
Vauréal,0,0,0,0,0,0,0,0,0,0,0,0
Pontoise,3,4,1,0,9,0,0,1,1,1,0,0
Muret,0,0,0,0,2,0,0,2,1,1,0,6
Thionville,2,1,4,0,4,1,0,1,1,1,0,5
Avon,0,0,0,0,0,0,0,0,0,0,0,0
Draguignan,1,1,0,0,1,1,0,1,1,1,0,0
Woippy,1,0,0,0,3,0,0,0,0,0,0,0
Saint-Maximin-la-Sainte-Baume,0,0,0,0,0,1,0,1,0,0,0,1
Saint-Avold,0,1,0,0,0,2,0,3,1,1,0,0
Yutz,0,0,0,0,2,1,0,0,0,0,0,1
Valentigney,0,0,0,0,1,0,0,1,0,0,0,0
Yzeure,0,0,0,0,0,2,0,1,0,0,0,0
Romainville,0,0,0,0,1,1,0,0,0,0,0,4
Issoire,0,1,0,0,2,1,0,1,1,1,0,0
Issoudun,0,1,0,0,2,1,0,0,1,0,0,0
Tournon-sur-Rhône,1,0,1,1,1,1,0,0,0,0,0,0
Le Pontet,0,0,0,0,1,0,0,0,0,0,0,2
Noisy-le-Grand,0,0,2,0,1,0,0,1,0,0,0,0
Chamalières,2,0,0,0,0,0,0,0,0,0,0,3
Guilherand-Granges,0,0,0,0,0,0,0,1,1,1,0,2
Auch,2,2,0,1,7,1,0,4,1,1,0,1
Talant,1,0,0,0,0,0,0,0,0,0,0,1
Clichy-sous-Bois,1,0,0,0,1,0,0,1,0,0,0,3
Montreuil,4,0,3,1,21,3,0,6,1,1,0,15
Rosny-sous-Bois,0,1,0,0,6,1,0,0,0,0,0,2
Bagnolet,0,0,0,0,2,0,0,0,1,0,0,4
Bobigny,3,2,0,0,4,1,0,3,1,0,0,1
Les Lilas,0,0,0,0,0,0,0,0,0,1,0,2
Albi,3,1,2,1,1,3,1,9,2,2,0,1
Noisy-le-Sec,1,1,0,0,1,3,0,0,0,0,0,2
Gaillac,1,0,0,0,1,1,0,3,0,0,0,0
Poitiers,5,4,2,1,11,2,0,7,2,2,0,14
Roanne,3,2,1,1,3,1,0,2,2,1,0,2
Castelsarrasin,0,0,0,0,1,1,0,1,0,0,0,0
Châtellerault,1,1,3,0,1,2,0,2,1,1,0,0
Neuilly-Plaisance,0,0,1,0,2,0,0,0,0,0,0,0
Elbeuf,1,1,1,0,2,2,0,4,0,0,0,0
Castres,2,0,0,0,1,1,0,4,2,1,0,2
Vire,0,1,0,0,0,0,0,3,1,0,0,0
Goussainville,2,1,0,0,2,1,0,0,0,0,0,0
Mazamet,1,0,1,0,2,0,0,0,0,0,0,0
Chenôve,1,0,0,0,0,2,0,2,1,0,0,0
Bourg-en-Bresse,2,3,0,0,6,3,0,3,1,0,0,2
Graulhet,1,0,0,0,1,0,0,2,0,0,2,4
Auray,2,2,0,1,1,1,0,3,1,0,0,2
Caudebec-lès-Elbeuf,0,0,0,0,2,1,0,0,0,0,0,0
Riorges,1,0,1,0,1,2,0,0,0,0,0,0
Montauban,4,1,1,1,8,1,1,8,2,3,2,3
Saint-Claude,1,1,1,0,2,1,0,2,1,1,0,2
Beaumont,0,0,0,0,0,1,0,0,0,1,0,0
Villetaneuse,0,0,0,0,0,0,0,0,0,0,0,0
Creil,1,0,4,2,6,1,0,3,1,1,0,2
Gex,0,0,1,0,2,0,0,0,0,0,0,0
La Courneuve,2,1,0,0,5,1,0,1,0,0,0,2
Grande-Synthe,0,1,0,0,1,3,0,0,1,1,2,1
Coudekerque-Branche,1,0,0,0,0,1,0,1,0,0,0,0
Saintes,4,2,1,0,4,1,0,3,1,1,0,1
Gonesse,0,0,1,0,1,1,0,2,1,1,0,0
Bondy,1,0,1,0,4,0,0,3,1,1,0,2
Gravelines,3,0,0,0,1,0,0,1,0,0,0,0
Dunkerque,4,5,4,1,18,0,0,4,1,2,0,0
Montataire,0,0,0,0,3,0,0,1,0,0,0,0
Annonay,0,0,0,1,2,1,0,3,1,1,0,1
Lavaur,0,0,0,0,0,1,0,3,1,1,0,1
Moissac,2,0,2,0,5,0,0,1,1,0,0,3
Nogent-sur-Oise,0,2,0,0,7,0,0,0,0,0,0,2
Bergerac,2,1,1,0,3,2,0,2,1,1,0,5
Ambérieu-en-Bugey,2,0,0,1,2,0,0,1,1,1,0,2
Saran,0,0,0,0,0,1,0,1,1,1,0,0
Orléans,6,2,1,0,13,3,1,5,2,1,0,17
Fleury-les-Aubrais,0,1,0,0,1,1,0,1,0,0,0,1
La Chapelle-Saint-Mesmin,0,2,0,0,0,0,0,0,0,0,0,0
Agen,8,1,4,0,6,1,0,3,2,2,0,10
Saint-Laurent-du-Var,0,0,0,0,0,0,0,0,1,0,0,1
Saint-Avé,0,0,0,0,0,0,0,1,0,0,0,0
Saint-Jean-de-Braye,0,0,0,0,3,3,0,0,0,0,0,0
Saint-Jean-de-la-Ruelle,1,0,0,0,0,0,0,0,0,0,0,0
Niort,2,4,2,1,3,3,0,3,2,2,0,13
Carpentras,2,0,2,0,2,2,0,4,1,1,0,0
Mennecy,1,0,0,0,0,0,0,0,0,0,0,0
Bellegarde-sur-Valserine,0,0,0,0,1,1,0,0,0,0,0,0
Villeneuve-sur-Lot,2,1,1,0,1,0,0,2,1,1,0,3
Villemomble,2,1,0,1,2,0,0,0,0,0,0,2
Olivet,0,0,0,0,2,2,0,0,0,0,0,3
Lons-le-Saunier,4,2,1,0,5,1,0,4,1,1,0,6
Bollène,1,0,0,0,0,1,0,2,0,0,0,0
Dole,0,1,2,1,5,0,0,4,1,1,0,0
Parthenay,1,0,1,0,1,0,0,0,1,0,0,1
Ris-Orangis,1,1,0,0,0,0,0,0,0,0,0,1
Corbeil-Essonnes,0,4,1,0,6,2,0,1,2,1,0,2
Caen,17,8,4,5,13,0,0,10,4,2,0,11
Sedan,1,0,1,0,3,1,0,2,1,1,0,1
Chauny,1,0,1,0,3,1,0,2,1,1,0,0
Vesoul,3,2,5,0,3,2,0,5,1,1,0,2
Mont-de-Marsan,3,2,1,1,3,4,0,2,1,1,0,5
Vigneux-sur-Seine,0,1,0,0,2,0,0,0,0,0,0,3
Olonne-sur-Mer,0,0,0,0,1,0,0,0,1,1,0,0
Saint-Quentin,9,1,1,0,7,3,0,3,2,2,0,2
Le Bourget,0,0,0,0,1,1,0,0,0,0,0,0
Pierrefitte-sur-Seine,0,0,0,0,2,0,0,0,0,0,0,0
Berck,0,0,1,1,3,3,0,2,0,0,0,0
Chevigny-Saint-Sauveur,0,0,0,0,0,0,0,1,0,0,0,2
Castanet-Tolosan,0,0,0,0,1,0,0,0,0,0,0,0
Tergnier,0,0,0,0,0,0,0,1,0,0,0,2
Nevers,5,4,3,0,4,2,1,3,1,1,0,0
Château-d'Olonne,0,0,0,1,1,0,0,0,0,0,0,2
Le Blanc-Mesnil,0,0,0,0,1,1,0,0,1,1,0,2
Aulnay-sous-Bois,1,2,1,0,5,1,0,0,1,0,0,3
Le Raincy,1,2,0,0,2,1,0,0,0,0,0,2
Les Pavillons-sous-Bois,0,0,0,0,1,0,0,0,0,0,0,0
Cosne-Cours-sur-Loire,1,0,0,0,1,1,0,1,0,1,0,0
Épinay-sur-Seine,1,1,1,0,5,0,0,2,0,0,0,4
Sanary-sur-Mer,0,0,0,0,0,0,0,0,0,0,0,0
Saint-Cyr-sur-Mer,0,0,0,0,2,0,0,0,0,0,0,0
Étaples,0,0,0,0,1,1,0,2,0,0,0,0
Carros,1,0,0,0,0,0,0,0,0,0,0,0
Drancy,1,0,0,0,3,0,0,1,0,0,0,4
Beauvais,5,4,4,2,13,3,0,3,1,1,0,7
Dugny,0,0,0,0,0,0,0,1,0,0,0,0
Plaisance-du-Touch,0,0,0,0,0,0,0,0,0,0,0,2
Tremblay-en-France,0,0,0,0,2,0,0,0,1,1,0,0
Saint-Orens-de-Gameville,0,0,0,0,1,1,0,0,0,0,0,1
Saint-Gaudens,1,1,1,0,2,1,0,3,1,1,0,1
Les Sables-d'Olonne,2,1,1,0,3,0,0,3,0,0,0,2
Montfermeil,4,0,0,0,0,1,0,0,1,1,0,1
Villepinte,1,0,1,0,1,2,0,2,1,1,0,2
Châlette-sur-Loing,0,0,0,1,1,0,0,0,0,0,0,0
Gagny,2,1,2,0,2,1,0,0,0,0,0,0
Livry-Gargan,0,0,0,1,4,0,0,0,0,1,0,0
Saint-Fons,0,0,1,0,2,0,0,0,0,0,0,0
Monteux,0,0,0,0,0,0,0,0,0,0,0,0
Stains,0,1,0,1,3,0,0,0,1,1,0,0
Ramonville-Saint-Agne,0,0,0,0,0,0,0,0,0,0,0,0
Concarneau,0,0,1,0,2,1,0,3,1,0,0,4
Tarbes,5,2,2,1,8,0,0,5,1,2,0,0
Vénissieux,2,3,1,0,12,4,0,1,1,0,0,2
Gien,0,1,0,1,1,2,0,1,1,1,0,0
Bron,1,0,0,1,2,0,0,5,1,1,0,2
Billère,0,0,0,0,1,1,0,0,0,0,0,0
Les Herbiers,0,0,0,0,3,1,0,3,0,0,0,5
Hendaye,0,1,0,0,0,0,0,0,0,0,0,1
Pau,5,2,3,2,11,2,1,1,2,2,2,13
Sevran,1,0,1,0,4,0,0,0,0,0,0,2
Neuilly-sur-Marne,1,1,0,0,3,1,0,3,0,0,0,1
Fougères,1,1,1,1,6,1,0,5,1,1,0,0
La Roche-sur-Yon,4,3,3,1,9,5,0,13,2,2,4,9
Saint-Jean-de-Luz,0,0,0,0,0,0,0,0,1,0,0,0
Clermont,0,1,0,0,0,0,0,3,1,1,0,1
Oloron-Sainte-Marie,0,0,0,0,1,1,0,1,1,1,0,0
Marck,0,0,0,0,0,0,0,0,0,0,0,0
Nice,14,2,6,2,26,3,1,10,5,3,2,34
Lons,1,0,0,0,0,0,0,0,0,0,0,0
Carvin,0,0,0,0,1,0,0,0,0,0,0,3
Pierre-Bénite,0,0,0,0,1,0,0,1,1,1,0,0
Guérande,0,0,0,0,0,2,0,2,0,0,0,2
Vedène,0,0,0,0,0,0,0,0,0,0,0,2
Roquebrune-sur-Argens,0,0,0,0,0,0,0,0,0,0,0,0
Pontchâteau,0,0,0,0,0,1,0,1,0,0,0,2
Beausoleil,0,0,0,0,1,0,0,0,0,0,0,0
La Trinité,1,0,0,0,1,0,0,0,0,0,0,0
Saint-Raphaël,0,0,0,0,1,0,0,0,0,0,0,2
Angers,8,2,7,2,30,4,0,11,2,2,0,15
Seyssinet-Pariset,0,0,0,0,1,1,0,0,0,0,0,1
Hérouville-Saint-Clair,2,1,0,0,1,1,0,1,0,0,0,4
Ifs,1,1,0,0,0,3,0,1,0,0,0,4
Saint-Nazaire,3,2,1,0,6,3,0,5,1,1,0,16
Vannes,8,4,2,0,5,2,0,12,1,2,0,9
Roquebrune-Cap-Martin,0,0,0,0,0,0,0,0,0,0,0,0
Six-Fours-les-Plages,1,0,0,0,0,2,0,0,0,0,0,2
Avrillé,1,0,0,0,0,2,0,2,0,0,0,4
Fréjus,0,1,2,0,2,2,0,1,1,1,0,7
Noyon,0,0,0,1,3,1,1,1,1,0,0,0
Pernes-les-Fontaines,0,0,0,0,0,0,0,1,0,0,0,0
Sorgues,0,0,0,0,0,0,0,1,0,0,2,3
Outreau,0,0,0,0,0,1,0,0,0,0,0,0
Saint-Brice-sous-Forêt,0,1,0,0,1,0,0,0,0,0,0,0
Vidauban,0,0,0,0,0,0,0,0,0,0,0,2
Le Luc,0,0,0,0,0,0,0,0,0,0,0,0
Voiron,2,0,1,0,3,1,0,1,1,1,0,11
Saint-Martin-Boulogne,1,0,0,0,0,0,0,1,0,1,0,0
Agde,1,0,0,0,0,0,0,1,1,0,0,0
Saint-Leu-la-Forêt,0,0,0,0,2,1,0,0,0,0,0,6
Vierzon,1,1,0,1,2,2,0,1,1,1,0,1
Fontainebleau,1,0,0,0,1,0,0,0,1,2,0,10
Sarcelles,1,1,1,1,3,2,0,1,1,1,0,1
Compiègne,2,3,2,1,7,1,0,4,2,2,0,6
Nemours,0,0,1,0,1,1,0,1,1,0,0,2
Lucé,0,0,1,0,3,0,0,1,0,0,0,0
Sainte-Maxime,1,0,0,0,2,0,0,0,0,0,0,0
Chartres,3,3,1,1,3,1,0,1,0,0,0,3
Mèze,0,0,0,0,0,0,0,2,0,0,0,0
Nogent-le-Rotrou,0,0,0,0,0,2,0,2,1,0,0,0
Brignoles,1,1,1,0,2,1,0,4,1,1,0,0
Mainvilliers,0,1,0,0,1,3,0,0,1,0,0,0
Frontignan,0,0,0,0,0,1,0,1,0,0,0,2
Mauguio,0,0,0,0,0,0,0,0,0,0,0,0
Boulogne-sur-Mer,1,2,1,0,2,0,0,2,1,1,0,1
Écully,2,0,0,0,2,0,0,1,0,1,0,0
Saint-Cyprien,0,0,0,0,0,0,0,0,0,0,0,0
Blois,9,3,2,1,8,2,0,1,1,1,0,5
Saumur,1,0,1,0,9,2,0,2,1,1,0,4
Sète,1,1,1,0,6,0,0,3,1,1,0,5
Auxerre,4,4,1,0,4,3,0,5,2,1,0,17
Lunel,0,0,0,0,1,0,0,2,2,0,0,4
Vendôme,0,0,0,1,3,2,0,2,1,1,0,0
Romorantin-Lanthenay,0,0,0,1,2,2,0,1,1,1,0,0
Hyères,1,0,0,0,11,2,0,4,1,1,0,11
Brétigny-sur-Orge,4,0,1,1,1,1,0,0,0,0,0,2
Quimper,7,4,3,1,6,6,0,16,1,1,0,15
Lisieux,2,3,1,0,3,1,0,2,1,1,0,9
Morlaix,1,0,1,0,4,2,0,4,1,1,0,0
Plérin,0,1,0,0,0,1,0,0,0,0,0,7
Calais,3,1,4,0,6,6,0,2,1,1,16,8
Cholet,3,0,2,1,9,6,0,2,1,2,0,4
Mende,3,2,1,0,4,1,0,4,1,1,0,2
Villeneuve-lès-Avignon,0,0,1,0,0,0,0,1,0,0,0,1
Bressuire,0,0,1,0,1,1,0,2,1,1,0,2
Douarnenez,0,0,0,0,0,2,0,2,1,0,0,3
Saint-Brieuc,6,2,2,1,6,1,0,9,1,2,0,8
Ploufragan,0,0,0,0,0,2,0,0,0,0,0,0
Flers,0,0,1,0,2,2,0,4,1,1,0,0
Sarrebourg,0,1,0,0,2,1,0,4,1,1,0,2
Dourdan,0,0,0,0,3,1,0,0,1,1,0,0
Mantes-la-Ville,0,0,0,0,0,1,0,0,0,0,0,1
Montlouis-sur-Loire,0,0,0,0,0,1,0,0,0,0,0,2
La Chapelle-Saint-Luc,0,0,0,1,0,1,0,0,0,0,0,0
Manosque,2,0,1,0,3,1,0,0,1,1,0,3
Château-Gontier,0,0,0,0,3,1,0,1,1,1,0,0
Gisors,0,0,0,0,2,2,0,0,1,1,0,1
Pont-Saint-Esprit,0,0,0,0,1,0,0,0,0,0,0,0
Beaucaire,0,1,0,0,0,0,0,3,0,0,0,0
Limay,0,0,0,0,1,0,0,0,0,0,0,0
Gap,2,1,2,1,4,1,0,1,1,1,2,5
Mayenne,0,1,1,1,3,1,0,2,1,1,0,0
Longjumeau,0,0,0,0,0,1,0,2,1,2,0,5
Tarare,0,0,0,0,1,2,0,1,1,0,0,0
Montigny-lès-Cormeilles,0,0,1,1,2,0,0,0,0,0,0,0
Nîmes,7,5,5,2,13,7,0,8,2,3,0,13
Bagnols-sur-Cèze,1,1,0,0,3,1,0,4,1,1,0,0
Saint-Gilles,0,0,0,0,0,1,0,0,0,0,0,2
Vauvert,0,0,0,0,0,0,0,1,0,0,0,2
Mantes-la-Jolie,3,2,2,0,5,1,0,4,1,1,0,1
Cormeilles-en-Parisis,2,0,0,0,3,1,0,0,0,1,0,2
Torcy,0,0,0,0,3,0,0,1,0,0,0,2
Bussy-Saint-Georges,0,0,0,0,2,0,0,0,0,0,0,2
Roissy-en-Brie,0,0,2,1,4,0,0,0,0,0,0,0
Saint-Lô,2,1,1,1,5,1,0,7,1,1,0,4
Chanteloup-les-Vignes,0,0,0,0,0,0,0,0,0,0,0,2
Lannion,2,0,1,0,2,3,0,2,1,1,0,0
Lourdes,0,0,0,0,2,1,0,2,1,1,0,0
Laval,4,4,4,0,9,4,0,5,1,1,0,7
Provins,1,0,0,0,0,1,0,2,1,1,0,1
Chelles,0,0,1,0,3,1,0,1,0,0,0,1
Vaires-sur-Marne,0,0,0,0,0,0,0,0,0,0,0,0
Lognes,0,0,0,0,1,0,0,0,0,0,0,1
Chilly-Mazarin,0,1,0,0,2,0,0,1,0,0,0,0
Ozoir-la-Ferrière,0,0,0,0,1,1,0,0,0,0,0,0
Herblay,0,0,0,0,2,0,0,0,0,0,0,4
Noisiel,0,0,0,0,1,0,0,0,0,0,0,2
Troyes,7,2,4,0,11,3,0,8,1,2,0,6
Lagny-sur-Marne,0,0,0,0,1,1,0,3,0,0,0,0
Pontault-Combault,0,0,0,0,1,0,0,1,0,0,0,2
Sainte-Savine,0,0,0,0,1,0,0,0,0,0,0,0
Saint-André-les-Vergers,0,0,0,1,0,0,0,0,0,0,0,1
Épernay,1,1,1,0,7,1,0,3,1,1,0,5
Champs-sur-Marne,0,0,1,0,0,0,0,0,0,0,0,2
Draveil,1,1,0,0,0,0,0,0,0,0,0,0
Les Mureaux,1,2,0,1,3,0,0,1,0,0,0,0
Châlons-en-Champagne,1,1,3,0,9,1,0,4,1,1,0,2
La Celle-Saint-Cloud,0,0,0,0,0,1,0,0,0,0,0,0
Garges-lès-Gonesse,1,1,0,0,2,0,0,0,0,0,0,0
Vitry-le-François,1,0,0,0,1,1,0,1,1,1,0,0
Saint-Dizier,0,0,2,0,6,1,0,4,1,1,0,0
Saint-Martin-de-Crau,1,0,0,0,1,0,0,0,0,0,0,3
Villebon-sur-Yvette,0,0,0,0,0,0,0,0,0,0,0,0
Metz,6,4,11,1,14,3,0,8,2,1,0,17
Arnouville,0,2,1,0,1,0,0,1,0,0,0,0
Villiers-le-Bel,0,1,0,0,1,3,0,0,0,0,0,0
Pont-Sainte-Maxence,0,0,0,0,0,0,0,1,0,0,2,2
Saint-Amand-Montrond,0,0,0,0,1,3,0,0,1,1,0,5
Alençon,3,2,1,1,2,5,0,1,1,1,0,5
Méru,1,0,0,1,2,2,0,0,0,0,0,0
Persan,1,1,0,1,3,0,0,0,0,0,0,0
Bischwiller,0,0,0,0,0,2,0,1,0,0,0,3
Évreux,6,6,4,1,10,4,0,9,2,1,0,2
Chaumont,2,3,0,1,6,0,0,4,1,1,0,1
Saint-Malo,7,1,2,0,6,1,0,4,1,1,0,9
Autun,0,2,0,0,6,1,0,3,1,1,0,2
Poissy,2,2,1,0,3,2,0,4,1,2,0,4
Carrières-sous-Poissy,0,1,2,0,3,1,0,0,0,0,0,0
Mâcon,4,3,1,0,4,3,0,2,1,1,0,5
Verdun,2,4,1,0,1,1,0,4,1,1,0,0
Le Pecq,0,0,0,0,0,0,0,0,0,0,0,1
Triel-sur-Seine,0,0,0,0,0,0,0,0,0,0,0,0
Obernai,1,0,0,0,0,0,0,1,0,0,0,0
Granville,0,1,0,0,3,1,0,1,1,0,0,0
Épinay-sous-Sénart,0,0,0,0,0,0,0,0,0,0,0,5
Sens,5,0,1,0,0,1,0,5,1,1,2,1
Saverne,0,1,0,1,0,1,0,3,1,1,0,0
Montgeron,2,0,1,1,2,0,0,0,0,0,0,0
Cuers,0,0,0,0,0,1,0,1,0,0,0,0
Villeparisis,1,0,0,0,3,1,0,0,0,0,0,0
La Crau,1,1,0,0,0,0,0,1,0,0,0,0
Rambouillet,3,0,0,0,2,1,0,2,1,1,0,3
Béthune,0,1,2,0,2,0,0,2,2,2,0,3
Solliès-Pont,0,0,2,0,0,1,0,0,0,0,0,0
Crépy-en-Valois,0,0,0,0,0,1,0,1,0,0,0,0
Plouzané,0,0,0,0,0,0,0,0,0,0,0,2
Avion,0,0,0,0,0,0,0,1,0,0,0,0
Auchel,0,0,0,0,0,0,0,0,0,0,0,0
Bruay-la-Buissière,0,1,0,0,2,0,0,1,0,0,0,1
Amnéville,0,0,0,0,0,0,0,0,0,0,0,0
