,name,city,address,postcode,lat,lng,bubble_rating,star_rating,review_count,air_conditioning,free_internet,free_high_speed_internet_(_wifi_),public_wifi,wheelchair_access,restaurant,family_rooms,accessible_rooms,pets_allowed_(_dog_/_pet_friendly_),paid_wifi,refrigerator_in_room,kitchenette,microwave,paid_internet,chaine,rating_std,rating_std2
1411,hotel denfert montparnasse,Paris,70 rue Daguerre,75014,48.83538400000001,2.326026,3.0,3,97.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.7090346202728464,0.8489068927409229
1415,ile de france opera hotel,Paris,26 rue Saint Augustin,75002,48.86892,2.334668,3.0,3,106.0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0.7748213376177496,0.8915988637965311
1416,le havane,Paris,44 rue de Trevise,75009,48.87579,2.345702,3.5,3,59.0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0.5031465604341676,0.733448956474176
1417,hotel baudin,Paris,113 avenue Ledru Rollin,75011,48.853077,2.37701,3.5,2,135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1512675535358072,1.093958934277089
1420,hotel bellan,Paris,20 rue Leopold Bellan,75002,48.86663400000001,2.34572,3.5,2,102.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.8698465960048322,0.9374217070731925
1421,hotel beaunier,Paris,31 rue Beaunier,75014,48.824245,2.328888,3.5,2,80.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.6822326243175154,0.8330635556039283
1423,splendid hotel,Paris,54 rue Fondary,75015,48.8468,2.296263,3.5,0,52.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0.44345120580638503,0.7002440900975919
1425,hotel charing cross,Paris,39 rue Pasquier,75008,48.8748,2.323645,3.0,3,121.0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0.8844658665259217,0.9627521488892112
1428,de la loire,Paris,39 B rue du Moulin Vert,75014,48.830093,2.322022,3.5,2,24.0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.20466978729525462,0.5674246245912556
1429,hotel d'angleterre etoile,Paris,21 rue Copernic,75116,48.86912,2.289109,3.5,2,72.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.6140093618857639,0.7951151368878322
1430,nouvel hotel du theatre,Paris,16 rue Vandamme,75014,48.839558,2.322514,3.5,3,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15350234047144098,0.5389633105541836
